filename,date,coverage_percent,danger
P121-2018062417.jpg,2018-06-24 17:00,13.15,1
P122-2017013017.jpg,2017-01-30 17:00,92.63,0
P122-2018030417.jpg,2018-03-04 17:00,92.81,0
P122-2018040817.jpg,2018-04-08 17:00,92.81,0
P123-2018041517.jpg,2018-04-15 17:00,92.81,0
P123-2018061217.jpg,2018-06-12 17:00,92.81,0
P123-2018070217.jpg,2018-07-02 17:00,92.29,0
P123-2018071717.jpg,2018-07-17 17:00,92.29,0
P124-2016032917.jpg,2016-03-29 17:00,92.81,0
P124-2016060717.jpg,2016-06-07 17:00,92.29,0
P124-2016062717.jpg,2016-06-27 17:00,79.98,0
P124-2017032717.jpg,2017-03-27 17:00,92.81,0
P125-2017041116.jpg,2017-04-11 16:00,92.29,0
P125-2017050116.jpg,2017-05-01 16:00,92.32,0
P125-2018060516.jpg,2018-06-05 16:00,92.69,0
P127-2017041116.jpg,2017-04-11 16:00,92.29,0
P127-2018061016.jpg,2018-06-10 16:00,92.29,0
P128-2017050116.jpg,2017-05-01 16:00,92.81,0
P128-2018012116.jpg,2018-01-21 16:00,92.81,0
P128-2018040916.jpg,2018-04-09 16:00,92.81,0
P128-2018061016.jpg,2018-06-10 16:00,92.14,0
P128-2018062516.jpg,2018-06-25 16:00,36.99,1
P129-2018050116.jpg,2018-05-01 16:00,92.81,0
P129-2018062516.jpg,2018-06-25 16:00,92.04,0
P13-2016042417.jpg,2016-04-24 17:00,92.81,0
P13-2017031317.jpg,2017-03-13 17:00,92.81,0
P13-2018031817.jpg,2018-03-18 17:00,92.81,0
P13-2018032517.jpg,2018-03-25 17:00,92.81,0
P13-2018042917.jpg,2018-04-29 17:00,92.01,0
P13-2018071617.jpg,2018-07-16 17:00,37.4,1
P130-2017022016.jpg,2017-02-20 16:00,92.81,0
P130-2017052116.jpg,2017-05-21 16:00,92.29,0
P130-2018011416.jpg,2018-01-14 16:00,92.81,0
P130-2018032016.jpg,2018-03-20 16:00,92.81,0
